sub	CW_C	CW_I	QN_C	QN_I	SW_C	SW_I
1	914.5	924	578	682.5	583.5	644
2	971	930	561	657	611	647
3	536	571	501	626	436.5	584
4	742.5	719	621.5	769.5	569	625
5	683	791	629.5	713.5	553.5	693
6	612	738	582.5	657	581	684.5
7	698.5	805	562	696	663	765
8	651	671.5	580.5	584	535.5	567
9	551.5	652	506.5	570	578.5	663
10	846.5	787	514	522	483.5	603
11	574	726.5	508	557.5	512.5	590
12	583.5	908	634	762.5	614.5	679
13	579	645.5	728.5	713	619	600
14	551	650	513.5	626	517	615
15	875	811	824.5	878	519	607
16	516	571	528	690	555	618
17	1034	NA	530	570	660	713
18	910	946	565.5	673	550	572
19	771.5	806.5	561.5	617	559.5	621
20	675	719.5	547.5	601	576	600.5
21	743	791.5	485	565.5	518	641
22	668	1103.5	669.5	678	600	687
23	799	699	502	601	501	552.5
24	602.5	907	501	577	513	637
25	671	716	599	655	568	783
26	764	914	590	650	567.5	702.5
27	620	635	468	544	490	464
28	799	756	662	689	658.5	680.5
29	555	735.5	457.5	593	486	564.5
30	698	835	641	681	532.5	559
31	531.5	572	450	537	545	597
32	683.5	792	621	781.5	654.5	777
33	955	943.5	550.5	602	521	636
34	612	643.5	546	562	540.5	607
35	623.5	774.5	512.5	597.5	508	593
36	579	630.5	481.5	546	528.5	581
37	459.5	544.5	430.5	498.5	471.5	502.5
38	666.5	636	577	626	580	690
39	584.5	690.5	477	586	498.5	541
40	645	759	606	730	612.5	690.5
41	700	650	541.5	594.5	535	562.5
42	731	787	634	713	555.5	632
43	1151	1123	834	929.5	694	829
44	691	775.5	589	686	607	707
45	778.5	879	800.5	849	603	720.5
46	555	527	469.5	465	438.5	491.5
47	675	755	426	553	500.5	595
48	635	735.5	522	673	512	601
49	724	635.5	498	538	445	543
50	739	1090	426	515	445	470.5
51	652	727.5	570	651	519	646
